service,action,description,access_level,resource_types,condition_keys,dependent_actions,service_action_combined
amplifybackend,RemoveAllBackends,Grants permission to delete all existing Amplify Admin backend environments by appId,Write,backend*,,,amplifybackend:RemoveAllBackends
amplifybackend,RemoveBackendConfig,Grants permission to delete an Amplify Admin backend config by Amplify appId,Write,backend*,,,amplifybackend:RemoveBackendConfig
amplifybackend,UpdateBackendAPI,Grants permission to update an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,api*,,,amplifybackend:UpdateBackendAPI
amplifybackend,UpdateBackendAuth,Grants permission to update an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,auth*,,,amplifybackend:UpdateBackendAuth
amplifybackend,UpdateBackendConfig,Grants permission to update an Amplify Admin backend config by Amplify appId,Write,backend*,,,amplifybackend:UpdateBackendConfig
amplifybackend,UpdateBackendJob,Grants permission to update a job of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,backend*,,,amplifybackend:UpdateBackendJob
amplifybackend,UpdateBackendStorage,Grants permission to update a backend storage resource,Write,backend*,,,amplifybackend:UpdateBackendStorage
amplifyuibuilder,CreateComponent,Grants permission to create a component,Write,,aws:RequestTag/${TagKey}aws:TagKeys,amplify:GetApp,amplifyuibuilder:CreateComponent
amplifyuibuilder,CreateForm,Grants permission to create a form,Write,,aws:RequestTag/${TagKey}aws:TagKeys,amplify:GetApp,amplifyuibuilder:CreateForm
amplifyuibuilder,CreateTheme,Grants permission to create a theme,Write,,aws:RequestTag/${TagKey}aws:TagKeys,amplify:GetApp,amplifyuibuilder:CreateTheme
amplifyuibuilder,DeleteComponent,Grants permission to delete a component,Write,ComponentResource*,,amplify:GetApp,amplifyuibuilder:DeleteComponent
amplifyuibuilder,DeleteForm,Grants permission to delete a form,Write,FormResource*,,amplify:GetApp,amplifyuibuilder:DeleteForm
amplifyuibuilder,DeleteTheme,Grants permission to delete a theme,Write,ThemeResource*,,amplify:GetApp,amplifyuibuilder:DeleteTheme
amplifyuibuilder,ExportComponents,Grants permission to export components,Read,,,,amplifyuibuilder:ExportComponents
amplifyuibuilder,ExportForms,Grants permission to export forms,Read,,,,amplifyuibuilder:ExportForms
amplifyuibuilder,ExportThemes,Grants permission to export themes,Read,,,,amplifyuibuilder:ExportThemes
amplifyuibuilder,GetComponent,Grants permission to get an existing component,Read,ComponentResource*,,amplify:GetApp,amplifyuibuilder:GetComponent
amplifyuibuilder,GetForm,Grants permission to get an existing form,Read,FormResource*,,amplify:GetApp,amplifyuibuilder:GetForm
amplifyuibuilder,GetMetadata,Grants permission to get an existing metadata,Read,,,,amplifyuibuilder:GetMetadata
amplifyuibuilder,GetTheme,Grants permission to get an existing theme,Read,ThemeResource*,,amplify:GetApp,amplifyuibuilder:GetTheme
amplifyuibuilder,ListComponents,Grants permission to list components,List,,,amplify:GetApp,amplifyuibuilder:ListComponents
amplifyuibuilder,ListForms,Grants permission to list forms,List,,,amplify:GetApp,amplifyuibuilder:ListForms
amplifyuibuilder,ListThemes,Grants permission to list themes,List,,,amplify:GetApp,amplifyuibuilder:ListThemes
amplifyuibuilder,PutMetadataFlag,Grants permission to put an existing metadata,Write,,,,amplifyuibuilder:PutMetadataFlag
amplifyuibuilder,ResetMetadataFlag,Grants permission to reset an existing metadata,Write,,,,amplifyuibuilder:ResetMetadataFlag
amplifyuibuilder,UpdateComponent,Grants permission to update a component,Write,ComponentResource*,,amplify:GetApp,amplifyuibuilder:UpdateComponent
amplifyuibuilder,UpdateForm,Grants permission to update a form,Write,FormResource*,,amplify:GetApp,amplifyuibuilder:UpdateForm
amplifyuibuilder,UpdateTheme,Grants permission to update a theme,Write,ThemeResource*,,amplify:GetApp,amplifyuibuilder:UpdateTheme
kafka-cluster,AlterCluster,"Grants permission to alter various aspects of the cluster, equivalent to Apache Kafka's ALTER CLUSTER ACL",Write,cluster*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeCluster,kafka-cluster:AlterCluster
kafka-cluster,AlterClusterDynamicConfiguration,"Grants permission to alter the dynamic configuration of a cluster, equivalent to Apache Kafka's ALTER_CONFIGS CLUSTER ACL",Write,cluster*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeClusterDynamicConfiguration,kafka-cluster:AlterClusterDynamicConfiguration
kafka-cluster,AlterGroup,"Grants permission to join groups on a cluster, equivalent to Apache Kafka's READ GROUP ACL",Write,group*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeGroup,kafka-cluster:AlterGroup
kafka-cluster,AlterTopic,"Grants permission to alter topics on a cluster, equivalent to Apache Kafka's ALTER TOPIC ACL",Write,topic*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeTopic,kafka-cluster:AlterTopic
kafka-cluster,AlterTopicDynamicConfiguration,"Grants permission to alter the dynamic configuration of topics on a cluster, equivalent to Apache Kafka's ALTER_CONFIGS TOPIC ACL",Write,topic*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeTopicDynamicConfiguration,kafka-cluster:AlterTopicDynamicConfiguration
kafka-cluster,AlterTransactionalId,"Grants permission to alter transactional IDs on a cluster, equivalent to Apache Kafka's WRITE TRANSACTIONAL_ID ACL",Write,transactional-id*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeTransactionalId                                                            kafka-cluster:WriteData,kafka-cluster:AlterTransactionalId
kafka-cluster,Connect,Grants permission to connect and authenticate to the cluster,Write,cluster*,,,kafka-cluster:Connect
kafka-cluster,CreateTopic,"Grants permission to create topics on a cluster, equivalent to Apache Kafka's CREATE CLUSTER/TOPIC ACL",Write,topic*,,kafka-cluster:Connect,kafka-cluster:CreateTopic
kafka-cluster,DeleteGroup,"Grants permission to delete groups on a cluster, equivalent to Apache Kafka's DELETE GROUP ACL",Write,group*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeGroup,kafka-cluster:DeleteGroup
kafka-cluster,DeleteTopic,"Grants permission to delete topics on a cluster, equivalent to Apache Kafka's DELETE TOPIC ACL",Write,topic*,,kafka-cluster:Connect                                                            kafka-cluster:DescribeTopic,kafka-cluster:DeleteTopic
kafka-cluster,DescribeCluster,"Grants permission to describe various aspects of the cluster, equivalent to Apache Kafka's DESCRIBE CLUSTER ACL",List,cluster*,,kafka-cluster:Connect,kafka-cluster:DescribeCluster
kafka-cluster,DescribeClusterDynamicConfiguration,"Grants permission to describe the dynamic configuration of a cluster, equivalent to Apache Kafka's DESCRIBE_CONFIGS CLUSTER ACL",List,cluster*,,kafka-cluster:Connect,kafka-cluster:DescribeClusterDynamicConfiguration
kafka-cluster,DescribeGroup,"Grants permission to describe groups on a cluster, equivalent to Apache Kafka's DESCRIBE GROUP ACL",List,group*,,kafka-cluster:Connect,kafka-cluster:DescribeGroup
kafka-cluster,DescribeTopic,"Grants permission to describe topics on a cluster, equivalent to Apache Kafka's DESCRIBE TOPIC ACL",List,topic*,,kafka-cluster:Connect,kafka-cluster:DescribeTopic
kafka-cluster,DescribeTopicDynamicConfiguration,"Grants permission to describe the dynamic configuration of topics on a cluster, equivalent to Apache Kafka's DESCRIBE_CONFIGS TOPIC ACL",List,topic*,,kafka-cluster:Connect,kafka-cluster:DescribeTopicDynamicConfiguration
